qstr_Next_Page|Следующая страница
qstr_{s1}_{s2}^Reputation|{s1}, {s2}^Репутация: {s42}^Родился в {s43}^Связи с {s44} ({s45}).^^{reg48?В настоящее время в плену у {s48}:}^Дней с последнего разговора: {reg49}^^Текущее задание:^  {s50}{reg50?, вернется через {reg50} дней.:}
qstr_{s1}^|{s1}^
qstr_You_got_keys_of_dung|Вы получаете ключи от темницы.
qstr_You_have_been_knocke|Противник сокрушает Вас. Смотрите, как Ваши люди продолжат бой без Вас или нажмите клавишу Tab для отступления.
qstr_To_watch_the_fight_y|Чтобы наблюдать за битвой используйте кнопки 'w, a, s, d, numpad +/numpad -' для перемещения и 'numpad 1,2,3,4,6,8' чтобы вращать камеру.
qstr_You_must_stay_behind|Вы должны стоять ЗА линией! Очки не засчитываются.
qstr_Tutorial|Инструкция
qstr__Next_pay_day:_{s1}| Следующий платежный день: {s1}
qstr_{s1}^^Affiliated_to_|{s1}^^Взят в семью к {s5}
qstr_You_came_into_the_wo|Вы родились {reg3?дочерью:сыном} угасающего знатного рода, потомки которого владели лишь своим собственным домом. Несмотря на все трудности Вам дали возможность получить хорошее образование и навыки, необходимые для жизни придворного.
qstr_You_were_born_the_{r|Вы родились {reg3?дочерью:сыном} в чете странствующих торговцев, путешествовавших с места на место в поисках дохода. Несмотря на то, что родители Ваши по благосостоянию превосходили большинство людей и дали Вам настолько хорошее образование, насколько были в силах, у Вас было немного возможностей обзавестись друзьями, поскольку основой жизни было желание продать кому-нибудь что либо.
qstr_As_a_child_your_fami|Во времена Вашего детства семья, в которой Вы родились, пыталась выкарабкаться из нищеты, живя на деньги отца, служившего стражником у местного правителя. Это было нелегкое время и Вам не представилось возможности получить пристойное образование. Основным предметом, который Вы изучали на улицах, была самозащита, с оружием или без.
qstr_{reg3?daughter:son}|{reg3?дочерью:сыном}
qstr_You_were_the_{reg3?d|Вы родились {reg3?дочерью:сыном} в семье, жившей в лесах. Взрослые в Вашей семье занимались всем ради того, чтобы свести концы с концами: охотой, рубкой леса, делали стрелы, даже браконьерством, когда приходилось слишком туго. Зима была худшим временем для всех, не исключая и животных. Вы всегда жили так, чтобы встретить следующий рассвет, даже если вашим братьям и сестрам это не удавалось.
qstr_You_were_a_child_of_|Вы родились и выросли в степях в одном из племен, которое кочевало по засушливым пастбищам. Как и у других кочевников, в Вашей семье превыше всего ценились лошади и умение ездить верхом, которое Вы освоили еще до того, как стать на ноги. 
qstr_As_the_{reg3?daughte|Будучи {reg3?дочерью:сыном} вора Вы не получили никакого упорядоченного образования. Вместо учебы Вы все время проводили на улице, попрошайничали, пока не научились срезать кошельки у прохожих, срезая кошельки, пока не научились вскрывать замки. Так прошло все детство и подобный образ жизни открыл Вам много городских секретов и потайных путей.
qstr_As_a_{reg3?girl:boy}|{reg3?Девушкой:Юношей} Вас отослали ко двору одного из знатных людей. Одним из первых уроков, выученных во время служения знатным господам и дамам стало смирение. Но, наблюдая за ними во время игр и развлечений, подслушивая сплетни, внимая стихам о великих свершениях и любви, Вы очень быстро осознали, что мир взрослых это мир состязаний и противостояния.
qstr_As_a_{reg3?girl:boy}_|Став достаточно взросл{reg3?ой:ым}, Вы были отданы в ученики к лавочнику, для постижения секретов торговли. После нескольких лет тяжелого труда и учения под руководством наставника Вы стали подмастерьем и были приняты на полный рабочий день до тех пор, пока не захотите оставить ремесло торговца.
qstr_As_a_{reg3?girl:boy}_g|Став достаточно взросл{reg3?ой:ым}, Вы учились у разъезжающего по всей стране торговца, подбирая крохи мастерства через посещение лавок и вождение караванов с товарами. Вскоре Вы стали мастером в делах покупки задешево, продажи втридорога и создания у клиента уверенности в удачной сделке.
qstr_As_a_{reg3?girl:boy}_gr|Став достаточно взросл{reg3?ой:ым}, Вы ушли на улицы занимаясь тем, что было необходимо для выживания. Попрошайничество, воровство, сотрудничество с бандами грабителей, все годилось для получения хлеба насущного. Вы жили так день за днем, постоянно за гранью закона, идя на шаг впереди охотников и оставляя позади проклинавших Вас.
qstr_As_a_{reg3?girl:boy}_gro|Став достаточно взросл{reg3?ой:ым}, Вы уехали в степь на собственном коне, читая следы на траве и песке пустынь. Хотя иногда Вы и голодали, Вы стали умелым охотником и следопытом в стране, не любившей долго хранить следы. Ваше тело налилось особой силой, присущей жителям степей, кочевникам и охотникам.
qstr_{reg3?daughter:man}|{reg3?дочь:сын}
qstr_Though_the_distincti|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы превратились в {reg3?настоящую женщину:настоящего мужчину}, и мир, казалось, перевернулся вокруг вас. Когда вас произвели в оруженосцы, вы стали проводить долгие часы за тренировками с оружием, изучая приемы нанесения и отражения сильных ударов. Вам рассказывали как о долге перед лордом, так и об обязательствах пред вассалами, которые однажды могли у вас появиться. Но наряду с рыцарскими идеалами, перед вами открылась и оборотная сторона - рассказы старых воинов о безжалостной силовой политике, о предательстве и узурпации, о людях, использующих коварство вместо доблести для достижения своих целей.
qstr_{reg3?woman:man}|{reg3?взрослой женщиной:взрослым мужчиной}
qstr_Though_the_distinctio|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы стали {s13}, и мир, казалось, перевернулся вокруг вас. Вы вошли в тесно сплетенный круг придворных дам, изысканных жен и манерных любовниц знатных господ, а также девиц, которым еще предстояло подыскать себе мужей. Но даже здесь вы находите политику в действии, поскольку дамы затевали интриги ради видного положения и, следуя дворцовой моде, боролись друг с другом за каждый взгляд любого неженатого мужчины. Вскоре и вы научились обращать любую ситуацию в свою пользу. Вместе с этим пришло понимание, что вы и сами можете оказывать огромное влияние на окружающих, стоит вам только применить маленькие хитрости.
qstr_Though_the_distinction|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы стали {s13}, и мир, казалось, перевернулся вокруг вас. Вы оказались предоставлены {reg3?самой:самому} себе, не имея ничего, кроме заброшенной за спину лютни и собственного голоса. Люди не сразу оценили вашу игру и первое время ваше существование было нищим и голодным, но вы сумели выжить только благодаря музыке. За прошедшие годы вы хорошо научились развлекать пьяные толпы в тавернах, и еще лучше - уговаривать кого угодно делать то, что вам нужно.
qstr_Though_the_distinction_|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы превратились в {reg3?настоящую женщину:настоящего мужчину}, и мир, казалось, перевернулся вокруг вас. Вы поступили в университет одного из больших городов. Но вы получали уроки не только в лекционном зале. Вы могли бродить или не бродить со своими друзьями по городским аллеям в поисках вина, {девиц/кавалеров} и доброй драки. Но у вас наверняка была возможность узнать как выглядит сломанная челюсть, или как можно убедить разгневанного горожанина спрятать дубинку и принять денежную компенсацию за разрушения в его магазине.
qstr_Though_the_distinction_f|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы стали {s13}, и мир, казалось, перевернулся вокруг вас. Следуя зову дороги, вы ходили от деревни к деревне, покупая и продавая все, что могли. Это была не очень сытная жизнь, но постепенно вы научились торговаться и даже самые скупые старосты начали платить за ваш товар хорошую цену. Вскоре вы были готовы открыть собственную торговую компанию...
qstr_Though_the_distinction_fe|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы стали {s13}, и мир, казалось, перевернулся вокруг вас. У вас проявились способности к кузнечному ремеслу и вам захотелось создавать произведения искусства из обычного железа. Со временем вы овладели тонкостями этого мастерства и ваши работы стали расходиться по высоким ценам. При сытом желудке и с камином полным дров, вы могли справедливо гордиться своей работой и уважением клиентов.
qstr_Though_the_distinction_fel|Хотя это и показалось вам неожиданным, но где-то по ходу дела вы стали {s13}, и мир, казалось, перевернулся вокруг вас. Движим{ый/ая} обычным человеческим желанием наскрести монет, вы направились в личные угодья местного лорда и решили поживиться лесной добычей, наплевав на законы. Вы охотились на оленей, кабанов и гусей, и нелегально продавали их ценное мясо. Вы рубили деревья прямо под носом у лесничих и распиливали их на дрова, которыми зимой согревалось немало промерзлых домов. За некоторую плату, разумеется.
qstr_Only_you_know_exactl|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. И все же, это не было трудным решением, учитывая какой огонь ярости пылал в вашем сердце. Вы жаждали мести. Вы требовали справедливости. Зло, причиненное вам, не будет забыто, этот долг может быть оплачен только кровью...
qstr_Only_you_know_exactly|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Вы просто не могли остаться, не могли переносить воспоминания о тех, кого любили так близко и так мучительно. Возможно, новая жизнь позволит вам забыть или прославить то имя, которое вы уже не в силах произнести...
qstr_Only_you_know_exactly_|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Вы даже не можете сказать, когда ваш дом стал тюрьмой, когда знакомое стало чужим, но грезы о странствиях прочно вошли в жизнь. Тоска ли это по дальним краям или вас просто манит дорога, но вам было невыносимо оставаться на одном месте. Вы просто ушли, не оглядываясь назад...
qstr_Only_you_know_exactly_w|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Однако, вы знаете, что уже не сможете вернуться. Там не осталось ничего, к чему стоило бы возвращаться. Что бы там ни произошло, это уже в прошлом, и теперь вы один на один с большим безжалостным миром. Остается или плыть, или утонуть...
qstr_Only_you_know_exactly_wh|Только вам известно, что заставило вас отказаться от прежней жизни и отправиться в путешествие. Любому ясно, что вами движет исключительно жажда личной выгоды. Вы желаете богатства, власти и уважения. Вы хотите быть тем, кому спешат повиноваться. Вы хотите, чтобы люди знали ваше имя и дрожали всякий раз, когда его произносят. Вы хотите все и никому не позволите встать у вас на пути...
qstr_Back_to_the_beginnin|Вернуться к началу...
qstr_View_next_segment...|Следующий отрывок...
qstr_^No_food:___{reg7}|^Еды нет:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Задолженность:  -{reg6}
qstr_On_loan|Взаймы,
qstr_Appoint_next_marshal|Назначить другого маршала
qstr_Award_{s12}_as_fief|Отдать {s12} во владение
qstr_No_one|Ни одного
qstr_Selected_faction_is:|Выбранная фракция: {s10}^^{s9}
qstr_You_are_currently_re|В настоящий момент Вы читаете {s8}.
qstr_You_are_not_reading_|Вы не читаете никаких книг.
qstr_{s5}_and_{s6}|{s5} и {s6}
qstr_Your_estates_are:_{s|Ваши владения: {s8}.^{s9}
qstr_Current_party_size_l|Текущий предельный размер отряда: {reg5}.^Текущие модификаторы размера отряда:^^Основной размер: +30^Лидерство:{s2}{reg1}^Харизма:{s3}{reg2}^Известность:{s4}{reg3}^ВСЕГО: {reg5}
qstr_Your_relation_with_t|Ваши отношения с фракциями:^{s2}
qstr_Player_renown_is_inc|Известность игрока повышена на 100. 
qstr_Player_honor_is_incr|Честь игрока повышена на 1 и составляет {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} принима{reg2?е:ю}т предложение.
qstr_No_one_accepts_the_o|Никто не принимает Вашего предложения.
qstr_You_start_reading_{s|Вы начали читать {s2} и после прочтения нескольких страниц поняли, что можете многое узнать из этой книги. Вы решаете держать ее поближе и читать всякий раз как предоставляется возможность.
qstr_You_flip_through_the|Вы просматриваете страницы {s2}, но видите трудный для понимания текст. Упорное чтение вызывает у Вас головную боль и Вы решаете отложить книгу до лучших времен.
qstr_Villagers|Селяне
qstr_You_have_encountered|Ваш противник - {s1}.
qstr_You_have_engaged_{s1|{s1} атакован вами во время их нападения на {s3}.
qstr_You_were_caught_by_{|{s1} прерывает нападение вашего войска на {s3}.
qstr_You_were_victorious!|Вы победили!
qstr_Battle_was_lost._You|Битва проиграна. Ваши войска были полностью разбиты.
qstr_Your_companions_carr|Ваши соратники выносят вас с поля битвы.
qstr_You_have_defeated_th|Вы разбили врага.
qstr_You_have_retreated_f|Вы бежали с поля боя.
qstr_^^Ally_Casualties:{s|^^Потери союзников:{s0}
qstr_{s1}_of_{s3}_managed|{s1} ({s3}) сумел бежать.
qstr_Some_of_your_tendons|Во время боя Вы повредили сухожилие. Ваша сила уменьшилась на 1.
qstr_You_took_a_nasty_wou|Вы получили рану, которая оставит вас слегка хромым даже после исцеления. Вы теряете 1 единицу ловкости.
qstr_You_have_trouble_thi|Ваши мысли путаются после битвы. Возможно, это является следствием сильного удара по голове. Частые головные боли отныне станут Вашим спутником. Ваш интеллект уменьшился на 1 пункт.
qstr_Perhaps_I_m_getting_|Кажется, мне перестало везти...
qstr_Retirement_is_starti|Слово отставка' звучит все лучше и лучше.'
qstr_No_matter!_I_will_pe|Не важно! Я продолжу!
qstr_What_did_I_do_to_des|Что я сделал, чтобы заслужить подобное?
qstr_I_suppose_it_ll_make|Как минимум, из этого может получиться неплохая история...
qstr_{s9}_wants_you_to_fo|{s9} требует, чтобы Вы следовали за {reg0?ее:его} армией до особого распоряжения.
qstr_{s8}_of_{s9}|{s8} ({s9})
qstr_liege|сеньор
qstr_former_liege|бывший сеньор
qstr_affiliate|взятый в семью
qstr_former_companion|бывший спутник
qstr_marshall|маршал
qstr_vassal|вассал
qstr__Your_own_banner_fli|Ваше знамя развивается над воротами замка.
qstr__You_see_the_banner_|По знамени, развивающемся над воротами, вы понимаете, что замком владеет ваш {s11}, {s7}.
qstr__You_see_the_banner_o|По знамени, развивающемся над воротами, вы понимаете, что замком владеет {s7}.
qstr__Your_own_banner_flie|Ваше знамя развивается над воротами города.
qstr__You_see_the_banner_of|По знамени, развивающемся над воротами, вы понимаете, что городом владеет ваш {s11}, {s7}.
qstr__You_see_the_banner_of_|По знамени, развивающемся над воротами, вы понимаете, что городом владеет {s7}.
qstr_The_{reg6?town_s:cas|Запасов продуктов в {reg6?городе:замке} хватит по крайней мере еще на {reg3} дней.
qstr_The_{reg6?town_s:cast|Запасы продуктов в {reg6?городе:замке} подошли к концу и защитники голодают.
qstr_You_re_preparing_to_|Вы начинаете подготовку к штурму. Работы будут закончены через {reg9} часов.
qstr_Your_forces_are_buil|Ваши войска приступают к постройке осадной башни. Им потребуется около {reg9} часов для завершения строительства.
qstr_You_are_ready_to_att|Ваши войска готовы к штурму.
qstr_The_siege_tower_is_b|Осадная башня построена и войска готовы к атаке.
qstr_As_a_last_defensive_|Последним оплотом остается главный зал замка, куда вы отступаете с остатками Ваших войск. Вас ждет отчаянная схватка. Если Вы будете побеждены, отступать Вам будет некуда.
qstr_You_ve_been_driven_a|Вас оттеснили со стен и войска атакующих вливаются на улицы. Если победа останется за Вами, Вы сможете повернуть ход событий в свою пользу.
qstr_You_ve_breached_the_|Ваши войска пробились на стены, но упорные защитники продолжают сопротивляться на улицах города! Вашим войскам придется преодолеть их сопротивление, прежде чем атаковать цитадель.
qstr_The_town_centre_is_y|Центр города в Ваших руках. Для окончательной победы ваши войска должны сломить сопротивление последних защитников цитадели.
qstr_The_remaining_defend|Оставшиеся защитники отступили в замок, создав там последний рубеж обороны. Вам необходимо во что бы то ни стало взять его.
qstr_However_since_you_ar|Так как {s9} не принимал Вашей вассальной присяги, то он не признает Вас владельцем этого {reg8?города:замка}.
qstr_The_enemy_has_been_f|Враг обращен в бегство. Атака отбита, но осада продолжается.
qstr_As_you_approach_you_|При Вашем приближении стражники приветствуют Вас и распахивают перед Вами ворота.
qstr_As_you_approach_you_a|Замечая Ваше приближение, стражники приветствуют Вас и распахивают перед Вами ворота.
qstr_As_you_approach_you_ar|Замечая Ваше приближение, стражники приветствуют Вас и распахивают перед Вами ворота.
qstr__This_village_and_th| Эта деревня и прилегающие земли принадлежат Вам.
qstr__You_remember_that_t| Вы вспоминаете, что этой деревней владеет ваш {s11}, {s7}.
qstr__You_remember_that_th| Вы вспоминаете, что этой деревней владеет {s7}.
qstr__These_lands_belong_| Эти земли не имеют лорда.
qstr__The_village_is_infe| Деревню наводнили {reg8} {s35}.
qstr__The_peasants_hired_| Крестьяне купили наемников и восстали против Вашей власти.
qstr__The_village_has_bee| Деревня разграблена. Немногие выжившие разбегаются, когда Вы проезжаете мимо сгоревших домов.
qstr__The_village_is_bein| На деревню совершено нападение.
qstr_No_one_here_seems_to|Желающих присоединиться к Вашему отряду не видно.
qstr_One_{s3}_volunteers_|Один {s3} пожелал следовать за Вами.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} пожелали последовать за Вами.
qstr_Try_as_you_might_you|Несмотря на все усилия, Вам не удалось победить бандитов. В ярости они сравняли деревню с землей в наказание за сопротивление и, оставив позади пылающие развалины, отправились на поиски новых угодий.
qstr_village|Деревня
qstr_town|Город
qstr_castle|Замок
qstr_The_{s17}_has_no_imp|{s17} не содержит улучшений.
qstr_The_{s17}_has_the_fo|{s17} содержит следующие улучшения: {s18}.
qstr_The_assasins_beat_yo|Убийцы избивают вас и бросают, решив, будто вы умерли.
qstr_You_have_fallen._The|Вы упали без сознания. Бандиты быстро обчищают Ваши карманы, не оставляя даже мелкой монетки и растворяются в ночи. Впрочем, они оставили Вас в живых, если это можно так назвать.
qstr_Luckily_some_of_your|К счастью, после того как Вы не вернулись, Ваши спутники отправились на поиски и нашли Вас на обочине дороги. Они перенесли Вас в безопасное место и перевязали раны.
qstr_Luckily_some_passing|К счастью, жители города, проходившие мимо заметили Вас, лежащего на обочине дороги и, поняв, что это не обычный бродяга, отнесли Вас в ближайшую таверну, где перевязали Ваши раны.
qstr_You_fail_to_steal_an|Вы не смогли украсть скот.
qstr_You_drive_away_{reg1|Вы угнали {reg17} голов скота из деревенского стада.
qstr_You_are_at_{s2}.|{s2}.
qstr__This_castle_has_no_| В этом замке нет гарнизона.
qstr__The_banner_of_your_|По знамени, развивающемся над воротами, вы понимаете, что городом владеет ваш {s11}, {s7}.
qstr__This_town_has_no_ga| В этом городе нет гарнизона.
qstr__You_have_successful| Вы благополучно проскользнули мимо стражи.
qstr_{s13}_A_tournament_w|{s13} Скоро здесь состоится турнир.
qstr___{reg1}_denars_per_| ({reg1} динар за ночь)
qstr_Moreover_you_earn_{r|Кроме того, Вы получаете {reg8} динар от ставок на себя...
qstr_Victory_is_yours!_Yo|Победа за Вами! Вы выиграли в этом поединке, теперь Вам нужно подготовиться к следующему. 
qstr_You_have_been_bested|Вы проиграли в этом поединке, но признав ваше мастерство и храбрость, герольд позволяет вам принять участие в следующем. 
qstr_You_were_beaten._The|Вы проиграли. Селяне радуются своему успеху, но урок, который Вы хотели им преподать пропал даром...
qstr_After_beating_your_l|После победы над последним противником вы объясняете крестьянам, каким образом можно защититься от подобной атаки. Возможно, они примут это к сведению и будут лучше подготовлены в следующий раз.
qstr_The_bandits_are_brok|Бандиты повержены! Те немногие кто выжил убегают с поджатыми хвостами в страхе перед крестьянами и их новым защитником.
qstr_{s1}_s_Ship|Судно, принадлежащее {s1}
qstr_However_{reg3?You_ar|{reg3?Вы не смогли:{s1} не смог} найти товаров, которые могут принести прибыль.
qstr_^Buying_{s4}_here_an|^Купив {s4} здесь и продав его в {s5} Вы получите прибыль в размере {reg6} динар за единицу товара.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Вы обнаружили:{s1} обнаружил} следующее:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} получают {reg0} опыта.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} дополнительно получает {reg0} опыта.
qstr_^You_earned_{reg0}_e|^Вы получаете {reg0} опыта.{s2}
qstr_The_training_didn_t_|Тренировка прошла плохо.
qstr_The_training_didn_t_g|Тренировка прошла не совсем хорошо.
qstr_The_training_went_qu|Тренировка прошла удовлетворительно.
qstr_The_training_went_ve|Тренировка прошла хорошо.
qstr_The_training_went_pe|Тренировка прошла отлично.
qstr_{s13}_asked_you_to_r|{s13} просил вас явиться к нему, имея минимум {reg13} воинов в отряде.
qstr_{s13}_ordered_you_to|{s13} приказал Вам присоединиться к осаде {s14}.
qstr_Find_and_speak_with_|Разыщите и поговорите с {s3} ({s4}) для принесения {reg4?ей:ему} вассальной присяги.
qstr_There_has_been_an_al|Ходят слухи о пограничной стычке: {s9}
qstr_^^Note_that_so_long_|^^Обратите внимание: пока Вы являетесь маршалом, другие вассалы будут ожидать, что Вы поведете их за собой. Если Вы ждете начала пира, свадьбы или других событий, вы можете сложить с себя полномочия маршала, обратившись к Вашему сеньору.
qstr_Try_as_you_might_you_|Попытаться, Вы не можете потерять восставшую деревню.
qstr_{reg0}|{reg0}
qstr_positive|согласием
qstr_negative|отказом
qstr_{s11}^^_The_current_|{s11}^^ В гарнизоне сейчас {reg5} человек.^Припасов хватит на {reg6} дней.
qstr_^^Additional_the_fol|^^Кроме того, в настоящее время внутри следующие отряды:^
qstr_{s12}_{s3}_with_{reg|{s12} {s3} из {reg1} воинов^
qstr_{playername}_^^I_alw|{playername}, ^^я всегда знал что Вы мошенник, с того самого дня, как Вы поклялись в верности моему клану. ^Неужели Вы серьезно надеялись восстановить мою семью против меня? Маски сброшены, змея! Вы сущее наказание, и я не собираюсь больше этого терпеть. ^Отныне я отлучаю Вас от своего дома! Я убедил свою семью бороться с Вами и буду предупреждать лордов всей Кальрадии о Вашем позоре. ^Трепещите от страха, с этой минуты у Вас появился смертельный враг! ^^{s9}.
qstr_{playername}^^_I_ve_|{playername},^^{s9} пишет мне о Вашей подозрительной возне. При данных обстоятельствах {s9} не может представить доказательств, но, в отличие от Вас, {он/она} - выдающийся член моей семьи; за все эти годы у меня не было ни единого повода усомниться в {нем/ней}. Я считаю {его/ее} обвинения верными и неопровержимыми. ^Надеюсь, Вам не удалось расколоть мою семью. Отныне я возвращаю Вам Вашу клятву: Вы больше не связаны с моим домом. Каждый член моей семьи может отплатить Вам по совести... ^Мне стыдно признаться, как просто Вы меня обманули, поэтому я не буду бросать Вам вызов, чтобы не оправдываться в Вашей смерти перед моим королем. Однако я не обязан докладывать ему о всех крысах, убитых мной в диких землях, и очень надеюсь, что однажды встречу Вас там! ^^{s10}
qstr_{playername}|{playername}
qstr_Troops:_{reg1}|Отряды: {reg1}
qstr_Prosperity_Report^|Отчет о благосостоянии поселений^
qstr_Total|Всего
qstr_{s0}^{s1}_Average_To|{s0}^{s1} среднее благосостояние городов: {reg0}
qstr_{s0}^{s1}_towns_with|{s0}^{s1} городов с благосостоянием 80-100: {reg0}
qstr_{s0}^{s1}_towns_with_|{s0}^{s1} городов с благосостоянием 60-79: {reg0}
qstr_{s0}^{s1}_towns_with_p|{s0}^{s1} городов с благосостоянием 40-59: {reg0}
qstr_{s0}^{s1}_towns_with_pr|{s0}^{s1} городов с благосостоянием 20-39: {reg0}
qstr_{s0}^{s1}_towns_with_pro|{s0}^{s1} городов с благосостоянием 0-19: {reg0}
qstr_{s0}^{s1}_Average_Vi|{s0}^{s1} среднее благосостояние деревень: {reg0}
qstr_{s0}^{s1}_villages_w|{s0}^{s1} деревень с благосостоянием 80-100: {reg0}
qstr_{s0}^{s1}_villages_wi|{s0}^{s1} деревень с благосостоянием 60-79: {reg0}
qstr_{s0}^{s1}_villages_wit|{s0}^{s1} деревень с благосостоянием 40-59: {reg0}
qstr_{s0}^{s1}_villages_with|{s0}^{s1} деревень с благосостоянием 20-39: {reg0}
qstr_{s0}^{s1}_villages_with_|{s0}^{s1} деревень с благосостоянием 0-19: {reg0}
qstr_Breaking_camp...|Лагерь свернут...
qstr_{s5}_has_decided_to_|{s5} решил предоставить {s4} другому лорду из {s7}.
qstr_A_livestock_epidemic|Эпидемия среди животных убила {reg4} голов скота в {s4}.
qstr_Riot_in_{s6}!|Восстание в {s6}!
qstr_Your_party_is_spotte|Ваш отряд заметили около {s1}.
qstr_Party_has_nothing_to|Бойцам нечего есть!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?бежали:бежал} из вашего отряда ночью.
qstr_{s1}_of_{s3}_has_bee|{s1} ({s3}) был освобожден из заточения.
qstr_Building_of_{s0}_in_|Строительство улучшения {s0} в {s4} было завершено.
qstr_{s1}_has_won_the_tou|{s1} выигрывает турнир в {s2}.
qstr_{s1}_is_no_longer_in|В {s1} больше нет бандитов (ночью).
qstr_You_are_within_the_w|Вы находитесь в стенах, принадлежащих члену Вашей семьи и не должны платить за постой.
qstr_You_pay_for_accommod|Вы платите за постой.
qstr_Betrothal_to_{s5}_ex|Помолвка с {s5} утратила силу
qstr__Your_tactics_skill_| Ваш навык тактики увеличен на 1 пункт.
qstr__Your_persuasion_ski| Ваш навык убеждения увеличен на 1 пункт.
qstr__Your_leadership_ski| Ваш навык лидерства увеличен на 1 пункт.
qstr__Your_intelligence_h| Ваш интеллект увеличен на 1 пункт.
qstr__Your_trade_skill_ha| Ваш навык торговли увеличен на 1 пункт.
qstr__Your_weapon_master_| Ваш навык владения оружием увеличен на 1 пункт.
qstr__Your_engineer_skill| Ваше инженерное мастерство увеличено на 1 пункт.
qstr_You_have_finished_re|Вы прочли {s1}.{s2}
qstr_Book_Read|Чтение книги
qstr_{s1}_is_scouted.|Разведка у {s1} завершена.
qstr_{s1}_has_switched_fr|{s1} перешел от {s2} к {s3}.
qstr_Your_recruiter_who_wa|Ваш вербовщик, которому было поручено набрать {reg10} рекрутов для {s13} был разбит!
qstr_{s13}_has_been_taken|{s13} захвачен врагом и Ваш вербовщик, которому было поручено набрать {reg10} рекрутов исчез без следа!
qstr_ERROR_IN_THE_RECRUIT|ERROR IN THE RECRUITER KIT SIMPLE TRIGGERS!
qstr_A_recruiter_has_brou|Вербовщик доставил {reg10} рекрутов в {s13}.
qstr_Distance_between_{s1|Расстояние между {s14} и {s15}: {reg0}
qstr_Your_caravan_has_bro|Ваш караван привез {s12} для {s13}.
qstr_{s13}_is_unimpressed|{s13} не в восторге от вашего пустякового подарка.
qstr_The_people_of_{s13}_|Народ {s13} не в восторге от вашего пустякового подарка.
qstr_Your_caravan_has_los|Ваш караван потерялся в пути и провалил задание!
qstr_Transfer_to_{s6}|Переброска в {s6}
qstr_{s6}_patrol|Патруль ({s6})
qstr_Your_messenger_reach|Ваш посыльный достиг {s13}.
qstr_{s14}|{s14}
qstr_Your_messenger_has_l|Ваш посыльный потерялся в пути и провалил задание!
qstr_Not_enough_money_in_|Не хватает золота в казне для повышения войск.
qstr_Your_constable_upgra|Ваш констебль повыcил {reg5} {s6} до {s7} в {s8}.
qstr_Your_soldiers_patrolli|Солдаты, патрулировавшие {s6} разбежались, поскольку Вы не заплатили им!
qstr_It_is_rumoured_that_|Говорят, что шпиона поймали в {s11}.
qstr_{s0}_is_grumbling_ag|{s0} роптал против Вас. Ваша принадлежность может оказаться под угрозой, если это продолжится.
qstr_{s0}_is_grumbling_aga|{s0} роптал против Вас, но с поддержкой {s1} вы остаетесь аффилированным.
qstr_Your_last_fief_was_c|Ваш последний феод был захвачен, Вы потеряли {reg0}/{reg1} вашей казны.
qstr_Checking_rejoin_of_{|Проверить возвращение через {s10} дней после задание: {reg0}
qstr_{reg65?my_Lady:my_Lo|{reg65?миледи:милорд}
qstr_{reg65?My_Lady:My_Lo|{reg65?Миледи:Милорд}
qstr_{reg65?madame:sir}|{reg65?мадам:сир}
qstr_{reg65?Madame:Sir}|{reg65?Мадам:Сир}
qstr__no_fiefs_|(нет владений)
qstr__fiefs:_{s0}_|(владения: {s0})
qstr_It_s_your_money_or_y|Кошелек или жизнь, {парень/девчонка}. Только без резких движений, а то мои парни нервничают.
qstr_Lucky_for_you_you_ca|Твое счастье, что я в хорошем настроении. Давай всю наличность и, может быть, мы оставим тебя в живых.
qstr_This_a_robbery_eh?_I|Это ограбление, ясно? Даю тебе один шанс: отдавай все что есть или прощайся с жизнью. Уразумел?
qstr_we_have_made_very_li|пока мы практически не продвинулись к цели
qstr_we_have_suceeded_in_|мы получили кое-что, но впереди еще долгий путь
qstr_we_have_become_a_sig|мы представляем из себя силу, с которой нельзя не считаться и у нас хорошие шансы на победу
qstr_we_are_winning_the_w|мы практически победили, но еще враги еще строят козни.
qstr_we_are_on_the_verge_|мы в шаге от победы. Оставшиеся противники не представляют угрозы, но их необходимо нейтрализовать окончательно.
qstr_Your_kingdom_has_no_|Ваше королевство не имеет определенной культуры
qstr_Your_kingdom_culture|Культура Вашего королевства: {s11}
qstr_Kingdom_culture:_Non|Культура королевства: не выбрана
